nct	outcome_index	title_or_group	reason
NCT02291133			no results section
NCT01080352			no results section
NCT01752036			no results section
NCT03395899			no results section
NCT02958787			no results section
NCT00181584			no results section
NCT03357952			no results section
NCT03154749			no results section
NCT00185965			no results section
NCT00005592			no results section
NCT01851200			no results section
NCT02077634			no results section
NCT00034684			no results section
NCT00416533			no results section
NCT01672333			no results section
NCT00540358			no results section
NCT01963481			no results section
NCT00167219			no results section
NCT05635734			no results section
NCT00331409			no results section
NCT03008187			no results section
NCT04004221			no results section
NCT01582516			no results section
NCT03325816			no results section
NCT00081133			no results section
NCT02731352			no results section
NCT04635852			no results section
NCT02948075			no results section
NCT00219557			no results section
NCT00998192			no results section
NCT02167711			no results section
NCT00616564			no results section
NCT01005199			no results section
NCT00026221			no results section
NCT00004211			no results section
NCT00984334			no response-titled outcome
NCT00335764			no results section
NCT00453232			no results section
NCT00906893			no results section
NCT01277406			no results section
NCT00602706			no results section
NCT00084747			no results section
NCT02240238			no results section
NCT02841748			no results section
NCT06038526			no results section
NCT00491634			no results section
NCT00423332			no response-titled outcome
NCT04184232			no results section
NCT02261714			no results section
NCT01310816			no results section
NCT01494558			no results section
NCT01106898			no results section
NCT00081263			no response-titled outcome
NCT00436293			no results section
NCT00536393			no results section
NCT00005963			no results section
NCT00487721			no results section
NCT02275416			no results section
NCT01083706			no results section
NCT00270049			no results section
NCT04402138			no results section
NCT00668811			no results section
NCT01491971			no results section
NCT01705184			no results section
NCT04284852			no results section
NCT02958852			no results section
NCT00244855			no results section
NCT04553939			no results section
NCT03759600			no results section
NCT02661971			no results section
NCT00452634			no results section
NCT00123864			no results section
NCT00001499			no results section
NCT00033514			no results section
NCT01610206			no results section
NCT02939014			no results section
NCT00191490			no results section
NCT02264210			no results section
NCT00156182			no results section
NCT00056082			no results section
NCT00918723			no results section
NCT00660270			no results section
NCT02019069			no results section
NCT00448357			no results section
NCT00494481			no response-titled outcome
NCT03259919			no results section
NCT00357630			no results section
NCT00017498			no results section
NCT00235898			no results section
NCT00003621			no results section
NCT02058706			no results section
NCT02200757			no results section
NCT00105001			no results section
NCT01320111			no results section
NCT03216499			no results section
NCT00780663			no results section
NCT00051116			no results section
NCT03262779			no results section
NCT00576979			no results section
NCT00005027			no results section
NCT00378131			no results section
NCT00480831			no results section
NCT01277744			no results section
NCT00117871			no results section
NCT01225887			no results section
NCT03691493			no results section
NCT06135493			no results section
NCT03417895			no results section
NCT03070301			no results section
NCT00458601			no results section
NCT02175381			no results section
NCT00002928			no results section
NCT02945800			no results section
NCT00569699			no results section
NCT04887298			no results section
NCT04614363			no results section
NCT00425477			no results section
NCT03696277			no results section
NCT00000801			no results section
NCT00691301			no results section
NCT01187212			no results section
NCT04805736			no results section
NCT05586009			no results section
NCT01487863			no results section
NCT00041093			no results section
NCT02517593			no results section
NCT00003601			no results section
NCT01912612			no results section
NCT01120236			no results section
NCT04693234			no results section
NCT02723877			no results section
NCT03082677			no results section
NCT02760030			no results section
NCT04526899	1	Arms 2 & 3: Objective Response Rate (ORR)	reportingStatus=NOT_POSTED
NCT04526899	3	Disease Control Rate (DCR) As Assessed by BICR	reportingStatus=NOT_POSTED
NCT04526899	6	Objective Response Rate (ORR) As Assessed by the Investigator	reportingStatus=NOT_POSTED
NCT04526899	8	Disease Control Rate (DCR) As Assessed by the Investigator	reportingStatus=NOT_POSTED
NCT00130780			no results section
NCT04835896			no results section
NCT01360086			no results section
NCT01331083			no results section
NCT03322020			no results section
NCT03394105			no results section
NCT00057941			no results section
NCT02453191			no results section
NCT02272790			no results section
NCT02321397			no results section
NCT00027560			no results section
NCT02882282			no results section
NCT01897480			no results section
NCT05515796			no results section
NCT00774462			no results section
NCT03627988			no results section
NCT00652561			no results section
NCT00393861			no results section
NCT05847686			no results section
NCT02704169			no results section
NCT01387841			no results section
NCT01700946			no results section
NCT01884688			no results section
NCT04869488			no results section
NCT00017186			no results section
NCT03638141			no results section
NCT00397813			no results section
NCT00040846			no results section
NCT00238303			no results section
NCT01813227			no results section
NCT03818061			no results section
NCT00116961			no results section
NCT01929642			no results section
NCT02788773			no results section
NCT00745550			no results section
NCT02100813			no response-titled outcome
NCT00006020			no results section
NCT00602459			no results section
NCT00377559			no results section
NCT00261846			no results section
NCT00301873			no results section
NCT05975073			no results section
NCT00551460			no results section
NCT00239980			no results section
NCT01724879			no results section
NCT00062179			no results section
NCT03704688			no results section
NCT00005042			no results section
NCT02034110			no results section
NCT01452659			no results section
NCT01949688			no results section
NCT02067988			no results section
NCT00151203			no results section
NCT03110159			no results section
NCT00686088			no results section
NCT01553188			no results section
NCT00967603			no results section
NCT00611208			no results section
NCT02965976			no results section
NCT00081276			no results section
NCT00280410			no results section
NCT00546897			no results section
NCT01619423			no response-titled outcome
NCT00234403			no results section
NCT03882203			no results section
NCT02601950			no results section
NCT04518124			no results section
NCT03356223			no results section
NCT06390059			no results section
NCT01442662			no results section
NCT00094861			no response-titled outcome
NCT00002973			no results section
NCT01858883			no results section
NCT00095966			no results section
NCT03712397			no results section
NCT00374660			no results section
NCT00383760			no results section
NCT00005880			no results section
NCT00002783			no results section
NCT00596154			no results section
NCT01049854			no results section
NCT04717154			no results section
NCT02765854			no results section
NCT04926194			no results section
NCT03549494			no results section
NCT05024994			no results section
NCT00540696			no results section
NCT00062062			no results section
NCT00023673			no results section
NCT01148069			no results section
NCT03713294			no results section
NCT00727922			no results section
NCT01273051			no results section
NCT00639002			no results section
NCT05577702			no results section
