nct	group_norm	resolved_at_step	candidates_still_competing
NCT02964507	phase ii-placebo+ful	f (smallest outcome index)	2
NCT04540211	placebo + pc	e (largest Participants denominator)	2
NCT04540211	atezolizumab + tiragolumab + pc	e (largest Participants denominator)	2
NCT04428333	feladilimab + pembrolizumab + 5-fu-platinum chemotherapy	e (largest Participants denominator)	3
NCT04428333	feladilimab + pembrolizumab + 5-fu-platinum chemotherapy	f (smallest outcome index)	2
NCT04428333	placebo + pembrolizumab + 5-fu-platinum chemotherapy	e (largest Participants denominator)	3
NCT04428333	placebo + pembrolizumab + 5-fu-platinum chemotherapy	f (smallest outcome index)	2
NCT05269355	unesbulin and dacarbazine	f (smallest outcome index)	2
NCT05269355	placebo and dacarbazine	f (smallest outcome index)	2
NCT00095199	cetuximab & pemetrexed	f (smallest outcome index)	2
NCT00095199	pemetrexed	f (smallest outcome index)	2
NCT00095199	cetuximab & docetaxel	f (smallest outcome index)	2
NCT00095199	docetaxel	f (smallest outcome index)	2
NCT00931918	rchop	f (smallest outcome index)	2
NCT00931918	vc-rchop	f (smallest outcome index)	2
NCT00605722	bevacizumab + erlotinib	f (smallest outcome index)	2
NCT00533702	imc-1121b (ramucirumab) + dacarbazine	f (smallest outcome index)	4
NCT00533702	imc-1121b (ramucirumab)	f (smallest outcome index)	4
NCT00452673	50 mg dasatinib + 825 mg/m^2capecitabine	f (smallest outcome index)	2
NCT00452673	70 mg dasatinib + 825 mg/m^2capecitabine	f (smallest outcome index)	2
NCT00452673	70 mg dasatinib + 1000 mg/m^2capecitabine	f (smallest outcome index)	2
NCT00452673	100 mg dasatinib + 1000 mg/m^2capecitabine	f (smallest outcome index)	2
NCT00444535	lapatinib + bevacizumab	f (smallest outcome index)	2
NCT00527735	ipilimumab/placebo + paclitaxil/carboplatin (concurrent)	f (smallest outcome index)	3
NCT00527735	ipilimumab + paclitaxel/carboplatin (sequential)	f (smallest outcome index)	3
NCT00527735	placebo + paclitaxel/carboplatin	f (smallest outcome index)	3
NCT00969761	v100+cis60	e (largest Participants denominator)	2
NCT00969761	v100+cis75	e (largest Participants denominator)	2
NCT00969761	v200+cis75	e (largest Participants denominator)	2
NCT00969761	v300+cis75	e (largest Participants denominator)	2
NCT00969761	v300+cis100	e (largest Participants denominator)	2
NCT00969761	v350+cis75	e (largest Participants denominator)	2
NCT00969761	v100+car4	e (largest Participants denominator)	2
NCT00969761	v100+car5	e (largest Participants denominator)	2
NCT00969761	v200+car5	e (largest Participants denominator)	2
NCT00969761	v300+car5	e (largest Participants denominator)	2
NCT00969761	v300+car6	e (largest Participants denominator)	2
NCT00969761	v350+car5	e (largest Participants denominator)	2
NCT00993499	afa30+sir01	f (smallest outcome index)	2
NCT00993499	afa30+sir03	f (smallest outcome index)	2
NCT00993499	afa30+sir05	f (smallest outcome index)	2
NCT00993499	afa30+sir10	f (smallest outcome index)	2
NCT00993499	afa40+sir01	f (smallest outcome index)	2
NCT00993499	afa40+sir05	f (smallest outcome index)	2
NCT00355238	group a (brivanib 800 mg qd)	f (smallest outcome index)	2
NCT00355238	group b (brivanib 800 mg qd)	f (smallest outcome index)	2
NCT00355238	group c (400 mg bid)	f (smallest outcome index)	2
NCT00728949	imc-a12 (cixutumumab) + antiestrogen therapy	f (smallest outcome index)	2
NCT00728949	imc-a12 (cixutumumab)	f (smallest outcome index)	2
NCT01069627	bevacizumab + fotemustine	e (largest Participants denominator)	2
NCT00077857	1250 mg/m^2 capecitabine + docetaxel	f (smallest outcome index)	3
NCT00077857	825 mg/m^2 capecitabine + docetaxel	f (smallest outcome index)	3
NCT00454779	panitumumab plus chemotherapy	e (largest Participants denominator)	2
NCT00454779	chemotherapy alone	e (largest Participants denominator)	2
NCT00371345	her2/neu-amplified tumor, 70 mg twice daily (bid) dasatinib	f (smallest outcome index)	3
NCT00371345	her2/neu-amplified tumor, 100 mg bid	f (smallest outcome index)	2
NCT00371345	er and/or pgr positive tumor, 70 mg bid dasatinib	f (smallest outcome index)	3
NCT00371345	er and/or pgr positive tumor, 100 mg bid dasatinib	f (smallest outcome index)	3
NCT00545077	arm a: endocrine therapy (et)	e (largest Participants denominator)	2
NCT00545077	arm b: et with bevacizumab (et-b)	e (largest Participants denominator)	2
NCT00605267	anastrozole 1 mg	f (smallest outcome index)	3
NCT00605267	tamoxifen 20 mg	f (smallest outcome index)	3
NCT00971867	paclitaxel	e (largest Participants denominator)	4
NCT00971867	paclitaxel	f (smallest outcome index)	3
NCT00607724	stage 1: gdc-0449 (540 mg)	f (smallest outcome index)	2
NCT00586105	sorafenib (nexavar, bay43-9006)	f (smallest outcome index)	2
NCT00398567	part 2 - expanded mtd cohort	f (smallest outcome index)	2
NCT00437268	enzastaurin+irinotecan+cetuximab	f (smallest outcome index)	2
NCT00437268	irinotecan+cetuximab	f (smallest outcome index)	2
NCT01674062	pertuzumab + trastuzumab (cohorts 1 and 2)	f (smallest outcome index)	2
NCT01674062	pertuzumab (cohort 3)	f (smallest outcome index)	2
NCT00171834	patupilone (epo906) phase i	f (smallest outcome index)	2
NCT00171834	patupilone (epo906) phase ii	f (smallest outcome index)	2
NCT00946153	phase 1: group 1: lenvatinib: 12 mg	f (smallest outcome index)	2
NCT00946153	phase 1: group1: lenvatinib: 16 mg	f (smallest outcome index)	2
NCT00946153	phase 1: group 2: lenvatinib: 8 mg	f (smallest outcome index)	2
NCT00946153	phase 1: group 2: lenvatinib: 12 mg	f (smallest outcome index)	2
NCT00946153	phase 2 : lenvatinib :12 mg	f (smallest outcome index)	2
NCT00154102	cetuximab plus folfiri	e (largest Participants denominator)	4
NCT00154102	cetuximab plus folfiri	f (smallest outcome index)	2
NCT00154102	folfiri alone	e (largest Participants denominator)	4
NCT00154102	folfiri alone	f (smallest outcome index)	2
